date,linked_account_id,linked_account_name,service,service_code,region,unblended_cost,is_estimated
2026-03-01,200000000013,dev,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,68.41,false
2026-03-01,200000000013,dev,Amazon Relational Database Service,AmazonRDS,us-east-1,49.11,false
2026-03-01,200000000014,data-analytics,Amazon Athena,AmazonAthena,us-east-1,62.55,false
2026-03-01,200000000014,data-analytics,Amazon DynamoDB,AmazonDynamoDB,us-east-1,229.7,false
2026-03-01,200000000014,data-analytics,Amazon OpenSearch Service,AmazonES,us-west-2,86.06,false
2026-03-01,200000000014,data-analytics,Amazon Managed Streaming for Apache Kafka,AmazonMSK,us-east-1,104.31,false
2026-03-01,200000000014,data-analytics,Amazon Simple Storage Service,AmazonS3,us-east-1,482.77,false
2026-03-01,200000000015,ml-research,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,80.94,false
2026-03-01,200000000015,ml-research,Amazon Simple Storage Service,AmazonS3,us-east-1,163.23,false
2026-03-01,200000000015,ml-research,Amazon SageMaker,AmazonSageMaker,us-east-1,33.29,false
2026-03-02,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,539.7,false
2026-03-02,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,32.02,false
2026-03-02,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,354.37,false
2026-03-02,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,575.97,false
2026-03-02,200000000010,prod-core,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,22.63,false
2026-03-02,200000000010,prod-core,Amazon ElastiCache,AmazonElastiCache,us-east-1,86.77,false
2026-03-02,200000000010,prod-core,Amazon Relational Database Service,AmazonRDS,us-east-1,301.94,false
2026-03-02,200000000010,prod-core,Amazon Simple Storage Service,AmazonS3,us-east-1,511.24,false
2026-03-02,200000000010,prod-core,Amazon Virtual Private Cloud,AmazonVPC,us-east-1,17.35,false
2026-03-02,200000000011,prod-payments,AWS Data Transfer,AWSDataTransfer,us-east-1,246.34,false
2026-03-02,200000000011,prod-payments,Amazon DynamoDB,AmazonDynamoDB,us-east-1,397.05,false
2026-03-02,200000000011,prod-payments,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,525.42,false
2026-03-02,200000000011,prod-payments,Amazon Kinesis,AmazonKinesis,us-east-1,30.82,false
2026-03-02,200000000011,prod-payments,Amazon Relational Database Service,AmazonRDS,us-east-1,260.13,false
2026-03-02,200000000011,prod-payments,AWS Key Management Service,awskms,us-east-1,3.75,false
2026-03-02,200000000012,staging,AmazonCloudWatch,AmazonCloudWatch,us-east-1,132.46,false
2026-03-02,200000000012,staging,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,121.46,false
2026-03-02,200000000012,staging,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,14.04,false
2026-03-02,200000000012,staging,Amazon Relational Database Service,AmazonRDS,us-east-1,57.6,false
2026-03-02,200000000013,dev,AWS Lambda,AWSLambda,us-east-1,149.84,false
2026-03-02,200000000013,dev,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,159.25,false
2026-03-02,200000000013,dev,Amazon Relational Database Service,AmazonRDS,us-east-1,62.97,false
2026-03-02,200000000014,data-analytics,Amazon Athena,AmazonAthena,us-east-1,82.29,false
2026-03-02,200000000014,data-analytics,Amazon DynamoDB,AmazonDynamoDB,us-east-1,307.48,false
2026-03-02,200000000014,data-analytics,Amazon OpenSearch Service,AmazonES,us-west-2,110.82,false
2026-03-02,200000000014,data-analytics,Amazon Managed Streaming for Apache Kafka,AmazonMSK,us-east-1,133.04,false
2026-03-02,200000000014,data-analytics,Amazon Simple Storage Service,AmazonS3,us-east-1,623.39,false
2026-03-02,200000000015,ml-research,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,207.84,false
2026-03-02,200000000015,ml-research,Amazon Simple Storage Service,AmazonS3,us-east-1,202.85,false
2026-03-02,200000000015,ml-research,Amazon SageMaker,AmazonSageMaker,us-east-1,42.59,false
2026-03-03,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,512.85,false
2026-03-03,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,29.85,false
2026-03-03,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,330.36,false
2026-03-03,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,541.67,false
2026-03-03,200000000010,prod-core,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,21.53,false
2026-03-03,200000000010,prod-core,Amazon ElastiCache,AmazonElastiCache,us-east-1,81.09,false
2026-03-03,200000000010,prod-core,Amazon Relational Database Service,AmazonRDS,us-east-1,278.77,false
2026-03-03,200000000010,prod-core,Amazon Simple Storage Service,AmazonS3,us-east-1,482.11,false
2026-03-03,200000000010,prod-core,Amazon Virtual Private Cloud,AmazonVPC,us-east-1,16.1,false
2026-03-03,200000000011,prod-payments,AWS Data Transfer,AWSDataTransfer,us-east-1,232.11,false
2026-03-03,200000000011,prod-payments,Amazon DynamoDB,AmazonDynamoDB,us-east-1,387.15,false
2026-03-03,200000000011,prod-payments,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,504.74,false
2026-03-03,200000000011,prod-payments,Amazon Kinesis,AmazonKinesis,us-east-1,28.95,false
2026-03-03,200000000011,prod-payments,Amazon Relational Database Service,AmazonRDS,us-east-1,252.66,false
2026-03-03,200000000011,prod-payments,AWS Key Management Service,awskms,us-east-1,3.51,false
2026-03-03,200000000012,staging,AmazonCloudWatch,AmazonCloudWatch,us-east-1,120.46,false
2026-03-03,200000000012,staging,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,114.45,false
2026-03-03,200000000012,staging,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,13.51,false
2026-03-03,200000000012,staging,Amazon Relational Database Service,AmazonRDS,us-east-1,56.26,false
2026-03-03,200000000013,dev,AWS Lambda,AWSLambda,us-east-1,147.29,false
2026-03-03,200000000013,dev,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,149.39,false
2026-03-03,200000000013,dev,Amazon Relational Database Service,AmazonRDS,us-east-1,57.78,false
2026-03-03,200000000014,data-analytics,Amazon Athena,AmazonAthena,us-east-1,75.72,false
2026-03-03,200000000014,data-analytics,Amazon DynamoDB,AmazonDynamoDB,us-east-1,289.68,false
2026-03-03,200000000014,data-analytics,Amazon OpenSearch Service,AmazonES,us-west-2,102.14,false
2026-03-03,200000000014,data-analytics,Amazon Managed Streaming for Apache Kafka,AmazonMSK,us-east-1,122.51,false
2026-03-03,200000000014,data-analytics,Amazon Simple Storage Service,AmazonS3,us-east-1,560.29,false
2026-03-03,200000000015,ml-research,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,191.12,false
2026-03-03,200000000015,ml-research,Amazon Simple Storage Service,AmazonS3,us-east-1,188.86,false
2026-03-03,200000000015,ml-research,Amazon SageMaker,AmazonSageMaker,us-east-1,39.67,false
2026-03-04,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,534.24,false
2026-03-04,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,30.57,false
2026-03-04,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,345.46,false
2026-03-04,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,557.45,false
2026-03-04,200000000010,prod-core,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,21.53,false
2026-03-04,200000000010,prod-core,Amazon ElastiCache,AmazonElastiCache,us-east-1,82.37,false
2026-03-04,200000000010,prod-core,Amazon Relational Database Service,AmazonRDS,us-east-1,292.34,false
2026-03-04,200000000010,prod-core,Amazon Simple Storage Service,AmazonS3,us-east-1,498.9,false
2026-03-04,200000000010,prod-core,Amazon Virtual Private Cloud,AmazonVPC,us-east-1,16.49,false
2026-03-04,200000000011,prod-payments,AWS Data Transfer,AWSDataTransfer,us-east-1,237.31,false
2026-03-04,200000000011,prod-payments,Amazon DynamoDB,AmazonDynamoDB,us-east-1,394.7,false
2026-03-04,200000000011,prod-payments,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,516.86,false
2026-03-04,200000000011,prod-payments,Amazon Kinesis,AmazonKinesis,us-east-1,29.63,false
2026-03-04,200000000011,prod-payments,Amazon Relational Database Service,AmazonRDS,us-east-1,257.09,false
2026-03-04,200000000011,prod-payments,AWS Key Management Service,awskms,us-east-1,3.61,false
2026-03-04,200000000012,staging,AmazonCloudWatch,AmazonCloudWatch,us-east-1,129.02,false
2026-03-04,200000000012,staging,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,116.9,false
2026-03-04,200000000012,staging,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,13.86,false
2026-03-04,200000000012,staging,Amazon Relational Database Service,AmazonRDS,us-east-1,56.19,false
2026-03-04,200000000013,dev,AWS Lambda,AWSLambda,us-east-1,149.13,false
2026-03-04,200000000013,dev,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,154.0,false
2026-03-04,200000000013,dev,Amazon Relational Database Service,AmazonRDS,us-east-1,59.67,false
2026-03-04,200000000014,data-analytics,Amazon Athena,AmazonAthena,us-east-1,82.83,false
2026-03-04,200000000014,data-analytics,Amazon DynamoDB,AmazonDynamoDB,us-east-1,283.65,false
2026-03-04,200000000014,data-analytics,Amazon OpenSearch Service,AmazonES,us-west-2,107.03,false
2026-03-04,200000000014,data-analytics,Amazon Managed Streaming for Apache Kafka,AmazonMSK,us-east-1,126.6,false
2026-03-04,200000000014,data-analytics,Amazon Simple Storage Service,AmazonS3,us-east-1,582.22,false
2026-03-04,200000000015,ml-research,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,202.45,false
2026-03-04,200000000015,ml-research,Amazon Simple Storage Service,AmazonS3,us-east-1,205.19,false
2026-03-04,200000000015,ml-research,Amazon SageMaker,AmazonSageMaker,us-east-1,40.84,false
2026-03-05,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,531.96,false
2026-03-05,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,31.75,false
2026-03-05,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,360.76,false
2026-03-05,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,568.2,false
2026-03-05,200000000010,prod-core,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,22.66,false
2026-03-05,200000000010,prod-core,Amazon ElastiCache,AmazonElastiCache,us-east-1,83.87,false
2026-03-05,200000000010,prod-core,Amazon Relational Database Service,AmazonRDS,us-east-1,296.66,false
2026-03-05,200000000010,prod-core,Amazon Simple Storage Service,AmazonS3,us-east-1,512.35,false
2026-03-05,200000000010,prod-core,Amazon Virtual Private Cloud,AmazonVPC,us-east-1,16.99,false
2026-03-05,200000000011,prod-payments,AWS Data Transfer,AWSDataTransfer,us-east-1,241.27,false
2026-03-05,200000000011,prod-payments,Amazon DynamoDB,AmazonDynamoDB,us-east-1,405.33,false
2026-03-05,200000000011,prod-payments,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,519.45,false
2026-03-05,200000000011,prod-payments,Amazon Kinesis,AmazonKinesis,us-east-1,30.42,false
2026-03-05,200000000011,prod-payments,Amazon Relational Database Service,AmazonRDS,us-east-1,261.48,false
2026-03-05,200000000011,prod-payments,AWS Key Management Service,awskms,us-east-1,3.69,false
2026-03-05,200000000012,staging,AmazonCloudWatch,AmazonCloudWatch,us-east-1,128.92,false
2026-03-05,200000000012,staging,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,121.16,false
2026-03-05,200000000012,staging,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,14.09,false
2026-03-05,200000000012,staging,Amazon Relational Database Service,AmazonRDS,us-east-1,57.6,false
2026-03-05,200000000013,dev,AWS Lambda,AWSLambda,us-east-1,155.6,false
2026-03-05,200000000013,dev,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,157.02,false
2026-03-05,200000000013,dev,Amazon Relational Database Service,AmazonRDS,us-east-1,61.73,false
2026-03-05,200000000014,data-analytics,Amazon Athena,AmazonAthena,us-east-1,78.42,false
2026-03-05,200000000014,data-analytics,Amazon DynamoDB,AmazonDynamoDB,us-east-1,308.62,false
2026-03-05,200000000014,data-analytics,Amazon OpenSearch Service,AmazonES,us-west-2,109.4,false
2026-03-05,200000000014,data-analytics,Amazon Managed Streaming for Apache Kafka,AmazonMSK,us-east-1,129.78,false
2026-03-05,200000000014,data-analytics,Amazon Simple Storage Service,AmazonS3,us-east-1,590.95,false
2026-03-05,200000000015,ml-research,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,205.71,false
2026-03-05,200000000015,ml-research,Amazon Simple Storage Service,AmazonS3,us-east-1,210.25,false
2026-03-05,200000000015,ml-research,Amazon SageMaker,AmazonSageMaker,us-east-1,42.05,false
2026-03-06,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,539.1,false
2026-03-06,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,32.16,false
2026-03-06,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,353.54,false
2026-03-06,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,580.22,false
2026-03-06,200000000010,prod-core,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,22.72,false
2026-03-06,200000000010,prod-core,Amazon ElastiCache,AmazonElastiCache,us-east-1,87.31,false
2026-03-06,200000000010,prod-core,Amazon Relational Database Service,AmazonRDS,us-east-1,308.0,false
2026-03-06,200000000010,prod-core,Amazon Simple Storage Service,AmazonS3,us-east-1,515.26,false
2026-03-06,200000000010,prod-core,Amazon Virtual Private Cloud,AmazonVPC,us-east-1,17.08,false
2026-03-06,200000000011,prod-payments,AWS Data Transfer,AWSDataTransfer,us-east-1,250.59,false
2026-03-06,200000000011,prod-payments,Amazon DynamoDB,AmazonDynamoDB,us-east-1,406.22,false
2026-03-06,200000000011,prod-payments,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,522.55,false
2026-03-06,200000000011,prod-payments,Amazon Kinesis,AmazonKinesis,us-east-1,31.2,false
2026-03-06,200000000011,prod-payments,Amazon Relational Database Service,AmazonRDS,us-east-1,259.23,false
2026-03-06,200000000011,prod-payments,AWS Key Management Service,awskms,us-east-1,3.81,false
2026-03-06,200000000012,staging,AmazonCloudWatch,AmazonCloudWatch,us-east-1,130.56,false
2026-03-06,200000000012,staging,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,123.16,false
2026-03-06,200000000012,staging,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,14.12,false
2026-03-06,200000000012,staging,Amazon Relational Database Service,AmazonRDS,us-east-1,58.23,false
2026-03-06,200000000013,dev,AWS Lambda,AWSLambda,us-east-1,149.56,false
2026-03-06,200000000013,dev,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,160.95,false
2026-03-06,200000000013,dev,Amazon Relational Database Service,AmazonRDS,us-east-1,63.52,false
2026-03-06,200000000014,data-analytics,Amazon Athena,AmazonAthena,us-east-1,86.16,false
2026-03-06,200000000014,data-analytics,Amazon DynamoDB,AmazonDynamoDB,us-east-1,294.22,false
2026-03-06,200000000014,data-analytics,Amazon OpenSearch Service,AmazonES,us-west-2,112.53,false
2026-03-06,200000000014,data-analytics,Amazon Managed Streaming for Apache Kafka,AmazonMSK,us-east-1,132.75,false
2026-03-06,200000000014,data-analytics,Amazon Simple Storage Service,AmazonS3,us-east-1,611.51,false
2026-03-06,200000000015,ml-research,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,211.42,false
2026-03-06,200000000015,ml-research,Amazon Simple Storage Service,AmazonS3,us-east-1,206.05,false
2026-03-06,200000000015,ml-research,Amazon SageMaker,AmazonSageMaker,us-east-1,43.19,false
2026-03-07,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,420.39,false
2026-03-07,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,24.58,false
2026-03-07,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,273.35,false
2026-03-07,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,450.2,false
2026-03-07,200000000010,prod-core,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,17.85,false
2026-03-07,200000000010,prod-core,Amazon ElastiCache,AmazonElastiCache,us-east-1,67.26,false
2026-03-07,200000000010,prod-core,Amazon Relational Database Service,AmazonRDS,us-east-1,230.1,false
2026-03-07,200000000010,prod-core,Amazon Simple Storage Service,AmazonS3,us-east-1,393.16,false
2026-03-07,200000000010,prod-core,Amazon Virtual Private Cloud,AmazonVPC,us-east-1,13.3,false
2026-03-07,200000000011,prod-payments,AWS Data Transfer,AWSDataTransfer,us-east-1,182.84,false
2026-03-07,200000000011,prod-payments,Amazon DynamoDB,AmazonDynamoDB,us-east-1,305.96,false
2026-03-07,200000000011,prod-payments,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,434.85,false
2026-03-07,200000000011,prod-payments,Amazon Kinesis,AmazonKinesis,us-east-1,23.99,false
2026-03-07,200000000011,prod-payments,Amazon Relational Database Service,AmazonRDS,us-east-1,204.29,false
2026-03-07,200000000011,prod-payments,AWS Key Management Service,awskms,us-east-1,2.95,false
2026-03-07,200000000012,staging,AmazonCloudWatch,AmazonCloudWatch,us-east-1,104.78,false
2026-03-07,200000000012,staging,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,47.36,false
2026-03-07,200000000012,staging,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,11.01,false
2026-03-07,200000000012,staging,Amazon Relational Database Service,AmazonRDS,us-east-1,44.95,false
2026-03-07,200000000013,dev,AWS Lambda,AWSLambda,us-east-1,118.28,false
2026-03-07,200000000013,dev,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,67.45,false
2026-03-07,200000000013,dev,Amazon Relational Database Service,AmazonRDS,us-east-1,48.79,false
2026-03-07,200000000014,data-analytics,Amazon Athena,AmazonAthena,us-east-1,62.73,false
2026-03-07,200000000014,data-analytics,Amazon DynamoDB,AmazonDynamoDB,us-east-1,243.34,false
2026-03-07,200000000014,data-analytics,Amazon OpenSearch Service,AmazonES,us-west-2,86.04,false
2026-03-07,200000000014,data-analytics,Amazon Managed Streaming for Apache Kafka,AmazonMSK,us-east-1,102.68,false
2026-03-07,200000000014,data-analytics,Amazon Simple Storage Service,AmazonS3,us-east-1,479.98,false
2026-03-07,200000000015,ml-research,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,81.52,false
2026-03-07,200000000015,ml-research,Amazon Simple Storage Service,AmazonS3,us-east-1,169.69,false
2026-03-07,200000000015,ml-research,Amazon SageMaker,AmazonSageMaker,us-east-1,32.8,false
2026-03-08,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,499.39,false
2026-03-08,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,29.55,false
2026-03-08,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,318.93,false
2026-03-08,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,534.87,false
2026-03-08,200000000010,prod-core,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,20.31,false
2026-03-08,200000000010,prod-core,Amazon ElastiCache,AmazonElastiCache,us-east-1,80.3,false
2026-03-08,200000000010,prod-core,Amazon Relational Database Service,AmazonRDS,us-east-1,280.99,false
2026-03-08,200000000010,prod-core,Amazon Simple Storage Service,AmazonS3,us-east-1,475.11,false
2026-03-08,200000000010,prod-core,Amazon Virtual Private Cloud,AmazonVPC,us-east-1,15.6,false
2026-03-08,200000000011,prod-payments,AWS Data Transfer,AWSDataTransfer,us-east-1,220.43,false
2026-03-08,200000000011,prod-payments,Amazon DynamoDB,AmazonDynamoDB,us-east-1,388.13,false
2026-03-08,200000000011,prod-payments,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,498.72,false
2026-03-08,200000000011,prod-payments,Amazon Kinesis,AmazonKinesis,us-east-1,28.23,false
2026-03-08,200000000011,prod-payments,Amazon Relational Database Service,AmazonRDS,us-east-1,240.51,false
2026-03-08,200000000011,prod-payments,AWS Key Management Service,awskms,us-east-1,3.49,false
2026-03-08,200000000012,staging,AmazonCloudWatch,AmazonCloudWatch,us-east-1,125.2,false
2026-03-08,200000000012,staging,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,55.78,false
2026-03-08,200000000012,staging,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,13.35,false
2026-03-08,200000000012,staging,Amazon Relational Database Service,AmazonRDS,us-east-1,54.12,false
2026-03-08,200000000013,dev,AWS Lambda,AWSLambda,us-east-1,142.09,false
2026-03-08,200000000013,dev,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,78.95,false
2026-03-08,200000000013,dev,Amazon Relational Database Service,AmazonRDS,us-east-1,57.83,false
2026-03-08,200000000014,data-analytics,Amazon Athena,AmazonAthena,us-east-1,76.02,false
2026-03-08,200000000014,data-analytics,Amazon DynamoDB,AmazonDynamoDB,us-east-1,281.44,false
2026-03-08,200000000014,data-analytics,Amazon OpenSearch Service,AmazonES,us-west-2,101.61,false
2026-03-08,200000000014,data-analytics,Amazon Managed Streaming for Apache Kafka,AmazonMSK,us-east-1,122.73,false
2026-03-08,200000000014,data-analytics,Amazon Simple Storage Service,AmazonS3,us-east-1,536.76,false
2026-03-08,200000000015,ml-research,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,95.94,false
2026-03-08,200000000015,ml-research,Amazon Simple Storage Service,AmazonS3,us-east-1,193.67,false
2026-03-08,200000000015,ml-research,Amazon SageMaker,AmazonSageMaker,us-east-1,39.07,false
2026-03-09,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,541.11,false
2026-03-09,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,31.57,false
2026-03-09,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,352.29,false
2026-03-09,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,574.34,false
2026-03-09,200000000010,prod-core,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,22.73,false
2026-03-09,200000000010,prod-core,Amazon ElastiCache,AmazonElastiCache,us-east-1,84.62,false
2026-03-09,200000000010,prod-core,Amazon Relational Database Service,AmazonRDS,us-east-1,302.04,false
2026-03-09,200000000010,prod-core,Amazon Simple Storage Service,AmazonS3,us-east-1,486.68,false
2026-03-09,200000000010,prod-core,Amazon Virtual Private Cloud,AmazonVPC,us-east-1,17.33,false
2026-03-09,200000000011,prod-payments,AWS Data Transfer,AWSDataTransfer,us-east-1,236.53,false
2026-03-09,200000000011,prod-payments,Amazon DynamoDB,AmazonDynamoDB,us-east-1,416.75,false
2026-03-09,200000000011,prod-payments,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,512.39,false
2026-03-09,200000000011,prod-payments,Amazon Kinesis,AmazonKinesis,us-east-1,31.05,false
2026-03-09,200000000011,prod-payments,Amazon Relational Database Service,AmazonRDS,us-east-1,263.3,false
2026-03-09,200000000011,prod-payments,AWS Key Management Service,awskms,us-east-1,3.76,false
2026-03-09,200000000012,staging,AmazonCloudWatch,AmazonCloudWatch,us-east-1,130.81,false
2026-03-09,200000000012,staging,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,121.42,false
2026-03-09,200000000012,staging,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,13.99,false
2026-03-09,200000000012,staging,Amazon Relational Database Service,AmazonRDS,us-east-1,58.1,false
2026-03-09,200000000013,dev,AWS Lambda,AWSLambda,us-east-1,154.92,false
2026-03-09,200000000013,dev,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,158.36,false
2026-03-09,200000000013,dev,Amazon Relational Database Service,AmazonRDS,us-east-1,62.42,false
2026-03-09,200000000014,data-analytics,Amazon Athena,AmazonAthena,us-east-1,83.27,false
2026-03-09,200000000014,data-analytics,Amazon DynamoDB,AmazonDynamoDB,us-east-1,293.44,false
2026-03-09,200000000014,data-analytics,Amazon OpenSearch Service,AmazonES,us-west-2,110.05,false
2026-03-09,200000000014,data-analytics,Amazon Managed Streaming for Apache Kafka,AmazonMSK,us-east-1,132.22,false
2026-03-09,200000000014,data-analytics,Amazon Simple Storage Service,AmazonS3,us-east-1,577.29,false
2026-03-09,200000000015,ml-research,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,209.76,false
2026-03-09,200000000015,ml-research,Amazon Simple Storage Service,AmazonS3,us-east-1,205.89,false
2026-03-09,200000000015,ml-research,Amazon SageMaker,AmazonSageMaker,us-east-1,42.4,false
2026-03-10,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,532.48,false
2026-03-10,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,31.98,false
2026-03-10,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,366.2,false
2026-03-10,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,583.23,false
